conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
1,64,7,0.3,128,2,0.7129629629629629,0.7067307692307693,0.7,0.7033492822966507
1,64,7,0.3,128,3,0.7106481481481481,0.8057553956834532,0.5333333333333333,0.6418338108882522
1,128,3,0.1,32,2,0.7083333333333334,0.7359550561797753,0.6238095238095238,0.6752577319587629
1,128,3,0.1,32,3,0.7013888888888888,0.7647058823529411,0.5571428571428572,0.6446280991735537
1,128,3,0.1,64,2,0.7337962962962963,0.7914110429447853,0.6142857142857143,0.6916890080428955
1,128,3,0.1,64,3,0.7731481481481481,0.8076923076923077,0.7,0.75
1,128,3,0.1,128,2,0.5324074074074074,0.5170940170940171,0.5761904761904761,0.545045045045045
1,128,3,0.1,128,3,0.7129629629629629,0.8028169014084507,0.5428571428571428,0.6477272727272727
1,128,3,0.2,32,2,0.7037037037037037,0.7887323943661971,0.5333333333333333,0.6363636363636364
1,128,3,0.2,32,3,0.7314814814814815,0.8051948051948052,0.5904761904761905,0.6813186813186813
1,128,3,0.2,64,2,0.6921296296296297,0.712707182320442,0.6142857142857143,0.659846547314578
1,128,3,0.2,64,3,0.7106481481481481,0.7972027972027972,0.5428571428571428,0.6458923512747875
1,128,3,0.2,128,2,0.6898148148148148,0.6792452830188679,0.6857142857142857,0.6824644549763034
1,128,3,0.2,128,3,0.7013888888888888,0.7718120805369127,0.5476190476190477,0.6406685236768802
1,128,3,0.3,32,2,0.6898148148148148,0.7638888888888888,0.5238095238095238,0.6214689265536724
1,128,3,0.3,32,3,0.7800925925925926,0.8323699421965318,0.6857142857142857,0.7519582245430809
1,128,3,0.3,64,2,0.7106481481481481,0.8014184397163121,0.5380952380952381,0.6438746438746439
1,128,3,0.3,64,3,0.7083333333333334,0.7413793103448276,0.6142857142857143,0.671875
1,128,3,0.3,128,2,0.6736111111111112,0.680628272251309,0.6190476190476191,0.6483790523690773
1,128,3,0.3,128,3,0.6435185185185185,0.6891891891891891,0.4857142857142857,0.5698324022346368
1,128,5,0.1,32,2,0.7245370370370371,0.7357512953367875,0.6761904761904762,0.7047146401985112
1,128,5,0.1,32,3,0.7361111111111112,0.8,0.6095238095238096,0.6918918918918919
1,128,5,0.1,64,2,0.6550925925925926,0.6685082872928176,0.5761904761904761,0.618925831202046
1,128,5,0.1,64,3,0.6782407407407407,0.7232704402515723,0.5476190476190477,0.6233062330623306
1,128,5,0.1,128,2,0.6273148148148148,0.6601307189542484,0.48095238095238096,0.5564738292011019
1,128,5,0.1,128,3,0.6527777777777778,0.6388888888888888,0.6571428571428571,0.647887323943662
1,128,5,0.2,32,2,0.6851851851851852,0.7102272727272727,0.5952380952380952,0.6476683937823834
1,128,5,0.2,32,3,0.7060185185185185,0.832,0.49523809523809526,0.6208955223880597
1,128,5,0.2,64,2,0.6643518518518519,0.6470588235294118,0.680952380952381,0.6635730858468677
1,128,5,0.2,64,3,0.7407407407407407,0.7378640776699029,0.7238095238095238,0.7307692307692307
1,128,5,0.2,128,2,0.7291666666666666,0.7687861271676301,0.6333333333333333,0.6945169712793734
1,128,5,0.2,128,3,0.6921296296296297,0.7391304347826086,0.5666666666666667,0.6415094339622641
