N_MFCC,duration,step,augment,batch_size,accuracy,precision,recall,f1
13,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.4975124378109453,0.4835164835164835,0.9263157894736842,0.6353790613718412
13,2.0,2.0,None,8,0.7512437810945274,0.6956521739130435,0.8421052631578947,0.7619047619047619
13,2.0,2.0,None,16,0.8258706467661692,0.7830188679245284,0.8736842105263158,0.8258706467661692
13,2.0,2.0,None,32,0.8059701492537313,0.75,0.8842105263157894,0.8115942028985508
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7478753541076487,0.6727272727272727,0.896969696969697,0.7688311688311689
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7648725212464589,0.7070707070707071,0.8484848484848485,0.7713498622589532
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.47592067988668557,0.47109826589595377,0.9878787878787879,0.6379647749510763
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.773371104815864,0.6976744186046512,0.9090909090909091,0.7894736842105263
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.8016997167138811,0.7567567567567568,0.8484848484848485,0.8
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7478753541076487,0.69,0.8363636363636363,0.7561643835616438
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7450424929178471,0.7388535031847133,0.703030303030303,0.7204968944099379
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.6997167138810199,0.6411483253588517,0.8121212121212121,0.7165775401069518
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.5325779036827195,0.0,0.0,0.0
13,3.0,1.0,None,8,0.8130311614730878,0.7368421052631579,0.9333333333333333,0.8235294117647058
13,3.0,1.0,None,16,0.8215297450424929,0.7428571428571429,0.9454545454545454,0.832
13,3.0,1.0,None,32,0.7903682719546742,0.7022222222222222,0.9575757575757575,0.8102564102564103
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7892561983471075,0.7214285714285714,0.8938053097345132,0.7984189723320159
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.5454545454545454,0.5069767441860465,0.9646017699115044,0.6646341463414634
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.49173553719008267,0.47844827586206895,0.9823008849557522,0.6434782608695652
13,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7396694214876033,0.6893939393939394,0.8053097345132744,0.7428571428571429
13,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7231404958677686,0.6642857142857143,0.8230088495575221,0.7351778656126482
13,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.5371900826446281,1.0,0.008849557522123894,0.017543859649122806
13,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7768595041322314,0.7251908396946565,0.8407079646017699,0.7786885245901639
13,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7933884297520661,0.7647058823529411,0.8053097345132744,0.7844827586206896
13,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.5330578512396694,0.0,0.0,0.0
13,3.0,1.5,None,8,0.8264462809917356,0.7669172932330827,0.9026548672566371,0.8292682926829268
13,3.0,1.5,None,16,0.8140495867768595,0.7463768115942029,0.911504424778761,0.8207171314741036
13,3.0,1.5,None,32,0.8347107438016529,0.7552447552447552,0.9557522123893806,0.84375
13,3.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7058823529411765,0.6538461538461539,0.7816091954022989,0.7120418848167539
13,3.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7593582887700535,0.71,0.8160919540229885,0.7593582887700535
13,3.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7219251336898396,0.6422764227642277,0.9080459770114943,0.7523809523809524
13,3.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.6844919786096256,0.6428571428571429,0.7241379310344828,0.6810810810810811
13,3.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7433155080213903,0.6695652173913044,0.8850574712643678,0.7623762376237624
13,3.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.5989304812834224,0.62,0.3563218390804598,0.45255474452554745
13,3.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.679144385026738,0.6588235294117647,0.6436781609195402,0.6511627906976745
13,3.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.46524064171123,0.46524064171123,1.0,0.635036496350365
13,3.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.5240641711229946,0.49193548387096775,0.7011494252873564,0.5781990521327014
13,3.0,2.0,None,8,0.7540106951871658,0.6722689075630253,0.9195402298850575,0.7766990291262136
13,3.0,2.0,None,16,0.7807486631016043,0.7129629629629629,0.8850574712643678,0.7897435897435897
13,3.0,2.0,None,32,0.8074866310160428,0.7339449541284404,0.9195402298850575,0.8163265306122449
13,4.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7408536585365854,0.6892655367231638,0.8026315789473685,0.7416413373860182
13,4.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.774390243902439,0.7142857142857143,0.8552631578947368,0.7784431137724551
13,4.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.4695121951219512,0.4658385093167702,0.9868421052631579,0.6329113924050633
13,4.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7713414634146342,0.72,0.8289473684210527,0.7706422018348624
13,4.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7560975609756098,0.702247191011236,0.8223684210526315,0.7575757575757576
13,4.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.5640243902439024,0.5290322580645161,0.5394736842105263,0.5342019543973942
13,4.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7103658536585366,0.6686390532544378,0.743421052631579,0.7040498442367601
13,4.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.6737804878048781,0.5965665236051502,0.9144736842105263,0.7220779220779221
13,4.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.7652439024390244,0.7300613496932515,0.7828947368421053,0.7555555555555555
13,4.0,1.0,None,8,0.8384146341463414,0.7894736842105263,0.8881578947368421,0.8359133126934984
13,4.0,1.0,None,16,0.8902439024390244,0.8670886075949367,0.9013157894736842,0.8838709677419355
13,4.0,1.0,None,32,0.7591463414634146,0.6746411483253588,0.9276315789473685,0.7811634349030471
13,4.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7631578947368421,0.7280701754385965,0.7830188679245284,0.7545454545454545
13,4.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557
13,4.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.5087719298245614,0.4857142857142857,0.9622641509433962,0.6455696202531646
13,4.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7456140350877193,0.6791044776119403,0.8584905660377359,0.7583333333333333
13,4.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557
13,4.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7412280701754386,0.6598639455782312,0.9150943396226415,0.766798418972332
