conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
3,64,7,0.1,32,3,0.657,0.634,0.700,0.665
3,64,7,0.1,64,2,0.697,0.680,0.710,0.695
3,64,7,0.1,64,3,0.741,0.736,0.729,0.732
3,64,7,0.1,128,2,0.755,0.765,0.714,0.739
3,64,7,0.1,128,3,0.762,0.734,0.800,0.765
3,64,7,0.2,32,2,0.711,0.840,0.500,0.627
3,64,7,0.2,32,3,0.708,0.762,0.581,0.659
3,64,7,0.2,64,2,0.694,0.719,0.610,0.660
3,64,7,0.2,64,3,0.766,0.782,0.719,0.749
3,64,7,0.2,128,2,0.764,0.800,0.686,0.738
3,64,7,0.2,128,3,0.780,0.786,0.752,0.769
3,64,7,0.3,32,2,0.678,0.673,0.657,0.665
3,64,7,0.3,32,3,0.752,0.714,0.819,0.763
3,64,7,0.3,64,2,0.778,0.769,0.776,0.773
3,64,7,0.3,64,3,0.773,0.772,0.757,0.764
3,64,7,0.3,128,2,0.762,0.786,0.700,0.741
3,64,7,0.3,128,3,0.752,0.754,0.729,0.741
3,128,3,0.1,32,2,0.688,0.676,0.686,0.681
3,128,3,0.1,32,3,0.738,0.787,0.633,0.702
3,128,3,0.1,64,2,0.787,0.754,0.833,0.792
3,128,3,0.1,64,3,0.741,0.727,0.748,0.737
3,128,3,0.1,128,2,0.713,0.826,0.519,0.637
3,128,3,0.1,128,3,0.669,0.691,0.576,0.629
3,128,3,0.2,32,2,0.681,0.737,0.533,0.619
3,128,3,0.2,32,3,0.674,0.741,0.505,0.601
3,128,3,0.2,64,2,0.743,0.739,0.729,0.734
3,128,3,0.2,64,3,0.683,0.709,0.590,0.644
3,128,3,0.2,128,2,0.715,0.716,0.686,0.701
3,128,3,0.2,128,3,0.674,0.780,0.457,0.577
3,128,3,0.3,32,2,0.808,0.775,0.852,0.812
3,128,3,0.3,32,3,0.644,0.632,0.638,0.635
3,128,3,0.3,64,2,0.794,0.798,0.771,0.785
3,128,3,0.3,64,3,0.630,0.702,0.414,0.521
3,128,3,0.3,128,2,0.734,0.709,0.767,0.737
3,128,3,0.3,128,3,0.662,0.667,0.610,0.637
3,128,5,0.1,32,2,0.778,0.732,0.857,0.789
3,128,5,0.1,32,3,0.648,0.716,0.457,0.558
3,128,5,0.1,64,2,0.674,0.709,0.557,0.624
3,128,5,0.1,64,3,0.755,0.732,0.781,0.756
3,128,5,0.1,128,2,0.745,0.784,0.657,0.715
3,128,5,0.1,128,3,0.708,0.733,0.629,0.677
