conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
1,32,3,0.1,32,2,0.8226600985221675,0.8287292817679558,0.7853403141361257,0.8064516129032258
1,32,3,0.1,32,3,0.8620689655172413,0.8609625668449198,0.8429319371727748,0.8518518518518519
1,32,3,0.1,64,2,0.8522167487684729,0.8540540540540541,0.8272251308900523,0.8404255319148937
1,32,3,0.1,64,3,0.8522167487684729,0.8291457286432161,0.8638743455497382,0.8461538461538461
1,32,3,0.1,128,2,0.8448275862068966,0.82,0.8586387434554974,0.8388746803069054
1,32,3,0.1,128,3,0.854679802955665,0.8793103448275862,0.8010471204188482,0.8383561643835616
1,32,3,0.2,32,2,0.8374384236453202,0.8378378378378378,0.8115183246073299,0.824468085106383
1,32,3,0.2,32,3,0.8325123152709359,0.8186528497409327,0.8272251308900523,0.8229166666666666
1,32,3,0.2,64,2,0.8669950738916257,0.8743169398907104,0.837696335078534,0.8556149732620321
1,32,3,0.2,64,3,0.8694581280788177,0.8670212765957447,0.8534031413612565,0.8601583113456465
1,32,3,0.2,128,2,0.8669950738916257,0.8663101604278075,0.8481675392670157,0.8571428571428571
1,32,3,0.2,128,3,0.8571428571428571,0.8556149732620321,0.837696335078534,0.8465608465608465
1,32,3,0.3,32,2,0.812807881773399,0.8323699421965318,0.7539267015706806,0.7912087912087912
1,32,3,0.3,32,3,0.8325123152709359,0.8,0.8586387434554974,0.8282828282828283
1,32,3,0.3,64,2,0.8497536945812808,0.8385416666666666,0.8429319371727748,0.8407310704960835
1,32,3,0.3,64,3,0.8349753694581281,0.8131313131313131,0.8429319371727748,0.8277634961439588
1,32,3,0.3,128,2,0.854679802955665,0.8473684210526315,0.8429319371727748,0.8451443569553806
1,32,3,0.3,128,3,0.8891625615763546,0.8578431372549019,0.9162303664921466,0.8860759493670886
1,32,5,0.1,32,2,0.8768472906403941,0.8691099476439791,0.8691099476439791,0.8691099476439791
1,32,5,0.1,32,3,0.8571428571428571,0.8633879781420765,0.8272251308900523,0.8449197860962567
1,32,5,0.1,64,2,0.8719211822660099,0.8601036269430051,0.8691099476439791,0.8645833333333334
1,32,5,0.1,64,3,0.8645320197044335,0.8578947368421053,0.8534031413612565,0.8556430446194225
1,32,5,0.1,128,2,0.8275862068965517,0.8167539267015707,0.8167539267015707,0.8167539267015707
1,32,5,0.1,128,3,0.874384236453202,0.8608247422680413,0.8743455497382199,0.8675324675324675
1,32,5,0.2,32,2,0.854679802955665,0.8548387096774194,0.8324607329842932,0.843501326259947
1,32,5,0.2,32,3,0.8620689655172413,0.8648648648648649,0.837696335078534,0.851063829787234
