conv=2, filters=32, kernel=7, dropout=0.3, dense=64, pool=2 --> acc=0.889, prec=0.930, rec=0.826, f1=0.875
conv=2, filters=32, kernel=7, dropout=0.3, dense=64, pool=3 --> acc=0.858, prec=0.810, rec=0.910, f1=0.857
conv=2, filters=32, kernel=7, dropout=0.3, dense=128, pool=2 --> acc=0.865, prec=0.836, rec=0.888, f1=0.861
conv=2, filters=32, kernel=7, dropout=0.3, dense=128, pool=3 --> acc=0.876, prec=0.897, rec=0.831, f1=0.863
conv=2, filters=64, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.852, prec=0.821, rec=0.876, f1=0.848
conv=2, filters=64, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.860, prec=0.857, rec=0.843, f1=0.850
conv=2, filters=64, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.844, prec=0.815, rec=0.865, f1=0.839
conv=2, filters=64, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.884, prec=0.845, rec=0.921, f1=0.882
conv=2, filters=64, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.850, prec=0.842, rec=0.837, f1=0.839
conv=2, filters=64, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.879, prec=0.946, rec=0.787, f1=0.859
conv=2, filters=64, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.844, prec=0.779, rec=0.933, f1=0.849
conv=2, filters=64, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.873, prec=0.816, rec=0.944, f1=0.875
conv=2, filters=64, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.831, prec=0.764, rec=0.927, f1=0.838
conv=2, filters=64, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.863, prec=0.794, rec=0.955, f1=0.867
conv=2, filters=64, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.858, prec=0.823, rec=0.888, f1=0.854
conv=2, filters=64, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.892, prec=0.841, rec=0.949, f1=0.892
conv=2, filters=64, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.847, prec=0.780, rec=0.938, f1=0.852
conv=2, filters=64, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.876, prec=0.829, rec=0.927, f1=0.875
conv=2, filters=64, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.855, prec=0.812, rec=0.899, f1=0.853
conv=2, filters=64, kernel=3, dropout=0.3, dense=64, pool=3 --> acc=0.871, prec=0.838, rec=0.899, f1=0.867
conv=2, filters=64, kernel=3, dropout=0.3, dense=128, pool=2 --> acc=0.860, prec=0.821, rec=0.899, f1=0.858
conv=2, filters=64, kernel=3, dropout=0.3, dense=128, pool=3 --> acc=0.842, prec=0.759, rec=0.972, f1=0.852
conv=2, filters=64, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.852, prec=0.843, rec=0.843, f1=0.843

conv=2, filters=128, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.905, prec=0.886, rec=0.916, f1=0.901
conv=2, filters=128, kernel=5, dropout=0.1, dense=32, pool=3 --> acc=0.865, prec=0.787, rec=0.978, f1=0.872
conv=2, filters=128, kernel=5, dropout=0.1, dense=64, pool=2 --> acc=0.905, prec=0.890, rec=0.910, f1=0.900
conv=2, filters=128, kernel=5, dropout=0.1, dense=64, pool=3 --> acc=0.921, prec=0.902, rec=0.933, f1=0.917
