conv=3, filters=32, kernel=7, dropout=0.3, dense=64, pool=2 --> acc=0.900, prec=0.938, rec=0.843, f1=0.888
conv=3, filters=32, kernel=7, dropout=0.3, dense=64, pool=3 --> acc=0.855, prec=0.794, rec=0.933, f1=0.858
conv=3, filters=32, kernel=7, dropout=0.3, dense=128, pool=2 --> acc=0.892, prec=0.878, rec=0.893, f1=0.886
conv=3, filters=32, kernel=7, dropout=0.3, dense=128, pool=3 --> acc=0.855, prec=0.873, rec=0.809, f1=0.840
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.894, prec=0.883, rec=0.893, f1=0.888
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.873, prec=0.853, rec=0.882, f1=0.867
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.884, prec=0.959, rec=0.787, f1=0.864
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.889, prec=0.910, rec=0.848, f1=0.878
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.881, prec=0.929, rec=0.809, f1=0.865
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.847, prec=0.768, rec=0.966, f1=0.856
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.873, prec=0.819, rec=0.938, f1=0.874
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.818, prec=0.795, rec=0.826, f1=0.810
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.910, prec=0.871, rec=0.949, f1=0.909
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.831, prec=0.824, rec=0.815, f1=0.819
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.894, prec=0.879, rec=0.899, f1=0.889
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.757, prec=0.667, rec=0.966, f1=0.789
conv=3, filters=64, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.865, prec=0.813, rec=0.927, f1=0.866
conv=3, filters=64, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.723, prec=0.675, rec=0.792, f1=0.729
conv=3, filters=64, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.863, prec=0.786, rec=0.972, f1=0.869
conv=3, filters=64, kernel=3, dropout=0.3, dense=64, pool=3 --> acc=0.799, prec=0.797, rec=0.770, f1=0.783
conv=3, filters=64, kernel=3, dropout=0.3, dense=128, pool=2 --> acc=0.831, prec=0.764, rec=0.927, f1=0.838
conv=3, filters=64, kernel=3, dropout=0.3, dense=128, pool=3 --> acc=0.784, prec=0.716, rec=0.893, f1=0.795
conv=3, filters=64, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.887, prec=0.877, rec=0.882, f1=0.880
conv=3, filters=64, kernel=5, dropout=0.1, dense=32, pool=3 --> acc=0.892, prec=0.866, rec=0.910, f1=0.888
conv=3, filters=64, kernel=5, dropout=0.1, dense=64, pool=2 --> acc=0.892, prec=0.931, rec=0.831, f1=0.878
conv=3, filters=64, kernel=5, dropout=0.1, dense=64, pool=3 --> acc=0.887, prec=0.947, rec=0.803, f1=0.869
conv=3, filters=64, kernel=5, dropout=0.1, dense=128, pool=2 --> acc=0.908, prec=0.939, rec=0.860, f1=0.897
conv=3, filters=64, kernel=5, dropout=0.1, dense=128, pool=3 --> acc=0.884, prec=0.835, rec=0.938, f1=0.884
conv=3, filters=64, kernel=5, dropout=0.2, dense=32, pool=2 --> acc=0.905, prec=0.886, rec=0.916, f1=0.901
conv=3, filters=64, kernel=5, dropout=0.2, dense=32, pool=3 --> acc=0.876, prec=0.879, rec=0.854, f1=0.866
conv=3, filters=64, kernel=5, dropout=0.2, dense=64, pool=2 --> acc=0.894, prec=0.852, rec=0.938, f1=0.893
conv=3, filters=64, kernel=5, dropout=0.2, dense=64, pool=3 --> acc=0.910, prec=0.909, rec=0.899, f1=0.904
conv=3, filters=64, kernel=5, dropout=0.2, dense=128, pool=2 --> acc=0.908, prec=0.933, rec=0.865, f1=0.898
conv=3, filters=64, kernel=5, dropout=0.2, dense=128, pool=3 --> acc=0.884, prec=0.835, rec=0.938, f1=0.884
conv=3, filters=64, kernel=5, dropout=0.3, dense=32, pool=2 --> acc=0.913, prec=0.868, rec=0.961, f1=0.912
conv=3, filters=64, kernel=5, dropout=0.3, dense=32, pool=3 --> acc=0.889, prec=0.870, rec=0.899, f1=0.884
conv=3, filters=64, kernel=5, dropout=0.3, dense=64, pool=2 --> acc=0.892, prec=0.837, rec=0.955, f1=0.892
conv=3, filters=64, kernel=5, dropout=0.3, dense=64, pool=3 --> acc=0.881, prec=0.845, rec=0.916, f1=0.879
conv=3, filters=64, kernel=5, dropout=0.3, dense=128, pool=2 --> acc=0.918, prec=0.940, rec=0.882, f1=0.910
conv=3, filters=64, kernel=5, dropout=0.3, dense=128, pool=3 --> acc=0.847, prec=0.803, rec=0.893, f1=0.846
conv=3, filters=64, kernel=7, dropout=0.1, dense=32, pool=2 --> acc=0.929, prec=0.936, rec=0.910, f1=0.923
conv=3, filters=64, kernel=7, dropout=0.1, dense=32, pool=3 --> acc=0.860, prec=0.793, rec=0.949, f1=0.864
conv=3, filters=64, kernel=7, dropout=0.1, dense=64, pool=2 --> acc=0.929, prec=0.904, rec=0.949, f1=0.926
conv=3, filters=64, kernel=7, dropout=0.1, dense=64, pool=3 --> acc=0.865, prec=0.957, rec=0.747, f1=0.839
