conv=1, filters=32, kernel=7, dropout=0.3, dense=64, pool=2 --> acc=0.831, prec=0.824, rec=0.815, f1=0.819
conv=1, filters=32, kernel=7, dropout=0.3, dense=64, pool=3 --> acc=0.844, prec=0.848, rec=0.815, f1=0.831
conv=1, filters=32, kernel=7, dropout=0.3, dense=128, pool=2 --> acc=0.836, prec=0.863, rec=0.775, f1=0.817
conv=1, filters=32, kernel=7, dropout=0.3, dense=128, pool=3 --> acc=0.876, prec=0.892, rec=0.837, f1=0.864
conv=1, filters=64, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.799, prec=0.790, rec=0.781, f1=0.785
conv=1, filters=64, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.805, prec=0.810, rec=0.764, f1=0.786
conv=1, filters=64, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.773, prec=0.758, rec=0.758, f1=0.758
conv=1, filters=64, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.828, prec=0.834, rec=0.792, f1=0.813
conv=1, filters=64, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.828, prec=0.842, rec=0.781, f1=0.810
conv=1, filters=64, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.799, prec=0.807, rec=0.753, f1=0.779
conv=1, filters=64, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.792, prec=0.878, rec=0.646, f1=0.744
conv=1, filters=64, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.815, prec=0.838, rec=0.753, f1=0.793
conv=1, filters=64, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.813, prec=0.817, rec=0.775, f1=0.795
conv=1, filters=64, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.828, prec=0.827, rec=0.803, f1=0.815
conv=1, filters=64, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.821, prec=0.824, rec=0.787, f1=0.805
conv=1, filters=64, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.815, prec=0.781, rec=0.843, f1=0.811
conv=1, filters=64, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.765, prec=0.715, rec=0.831, f1=0.769
conv=1, filters=64, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.792, prec=0.800, rec=0.742, f1=0.770
conv=1, filters=64, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.823, prec=0.825, rec=0.792, f1=0.808
conv=1, filters=64, kernel=3, dropout=0.3, dense=64, pool=3 --> acc=0.823, prec=0.807, rec=0.820, f1=0.813
conv=1, filters=64, kernel=3, dropout=0.3, dense=128, pool=2 --> acc=0.831, prec=0.870, rec=0.753, f1=0.807
conv=1, filters=64, kernel=3, dropout=0.3, dense=128, pool=3 --> acc=0.828, prec=0.860, rec=0.758, f1=0.806
conv=1, filters=64, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.794, prec=0.787, rec=0.770, f1=0.778
conv=1, filters=64, kernel=5, dropout=0.1, dense=32, pool=3 --> acc=0.821, prec=0.840, rec=0.764, f1=0.800
conv=1, filters=64, kernel=5, dropout=0.1, dense=64, pool=2 --> acc=0.855, prec=0.855, rec=0.831, f1=0.843
conv=1, filters=64, kernel=5, dropout=0.1, dense=64, pool=3 --> acc=0.850, prec=0.881, rec=0.787, f1=0.831
conv=1, filters=64, kernel=5, dropout=0.1, dense=128, pool=2 --> acc=0.807, prec=0.814, rec=0.764, f1=0.788
conv=1, filters=64, kernel=5, dropout=0.1, dense=128, pool=3 --> acc=0.834, prec=0.871, rec=0.758, f1=0.811
conv=1, filters=64, kernel=5, dropout=0.2, dense=32, pool=2 --> acc=0.802, prec=0.798, rec=0.775, f1=0.786
conv=1, filters=64, kernel=5, dropout=0.2, dense=32, pool=3 --> acc=0.855, prec=0.892, rec=0.787, f1=0.836
conv=1, filters=64, kernel=5, dropout=0.2, dense=64, pool=2 --> acc=0.823, prec=0.854, rec=0.753, f1=0.800
conv=1, filters=64, kernel=5, dropout=0.2, dense=64, pool=3 --> acc=0.831, prec=0.852, rec=0.775, f1=0.812
conv=1, filters=64, kernel=5, dropout=0.2, dense=128, pool=2 --> acc=0.842, prec=0.864, rec=0.787, f1=0.824
conv=1, filters=64, kernel=5, dropout=0.2, dense=128, pool=3 --> acc=0.855, prec=0.887, rec=0.792, f1=0.837
conv=1, filters=64, kernel=5, dropout=0.3, dense=32, pool=2 --> acc=0.842, prec=0.855, rec=0.798, f1=0.826
conv=1, filters=64, kernel=5, dropout=0.3, dense=32, pool=3 --> acc=0.784, prec=0.773, rec=0.764, f1=0.768
conv=1, filters=64, kernel=5, dropout=0.3, dense=64, pool=2 --> acc=0.858, prec=0.873, rec=0.815, f1=0.843
conv=1, filters=64, kernel=5, dropout=0.3, dense=64, pool=3 --> acc=0.850, prec=0.890, rec=0.775, f1=0.829
conv=1, filters=64, kernel=5, dropout=0.3, dense=128, pool=2 --> acc=0.839, prec=0.850, rec=0.798, f1=0.823
conv=1, filters=64, kernel=5, dropout=0.3, dense=128, pool=3 --> acc=0.844, prec=0.852, rec=0.809, f1=0.830
conv=1, filters=64, kernel=7, dropout=0.1, dense=32, pool=2 --> acc=0.802, prec=0.805, rec=0.764, f1=0.784
conv=1, filters=64, kernel=7, dropout=0.1, dense=32, pool=3 --> acc=0.842, prec=0.855, rec=0.798, f1=0.826
conv=1, filters=64, kernel=7, dropout=0.1, dense=64, pool=2 --> acc=0.818, prec=0.822, rec=0.781, f1=0.801
conv=1, filters=64, kernel=7, dropout=0.1, dense=64, pool=3 --> acc=0.826, prec=0.818, rec=0.809, f1=0.814
